protein_id	ensg	adipose tissue	adrenal gland	appendix	bone marrow	breast	bronchus	cartilage	caudate	cerebellum	cerebral cortex	cervix	choroid plexus	colon	dorsal raphe	duodenum	endometrium	endometrium 1	endometrium 2	epididymis	esophagus	eye	fallopian tube	gallbladder	hair	heart muscle	hippocampus	hypothalamus	kidney	lactating breast	liver	lung	lymph node	nasopharynx	oral mucosa	ovary	pancreas	parathyroid gland	pituitary gland	placenta	prostate	rectum	retina	salivary gland	seminal vesicle	skeletal muscle	skin 1	skin 2	small intestine	smooth muscle	soft tissue 1	soft tissue 2	sole of foot	spleen	stomach 1	stomach 2	testis	thymus	thyroid gland	tonsil	urinary bladder	vagina
ENSP00000331302	ENSG00000206181	0	0	0	0	0	2	0	1	2	1	2	0	2	0	2	0	1	1	2	2	0	2	2	0	2	1	0	2	0	2	0	1	2	2	0	1	0	0	0	0	2	0	0	0	2	0	2	2	0	0	0	0	0	1	2	2	0	0	2	2	1
ENSP00000331313	ENSG00000185838	0	2	1	0	2	1	0	2	1	2	1	0	2	0	2	0	1	1	2	1	0	1	2	0	1	2	0	2	0	1	2	1	1	0	2	2	2	0	2	1	2	0	1	1	1	2	1	2	0	2	2	0	0	2	2	2	0	2	2	2	0
ENSP00000331342	ENSG00000156675	1	2	3	2	2	2	0	2	2	2	2	0	3	0	3	0	2	2	2	2	0	2	2	0	2	2	0	3	0	1	2	2	2	1	2	2	2	0	3	2	3	0	2	2	2	2	2	3	0	1	1	0	1	2	2	1	0	2	2	2	2
ENSP00000331368	ENSG00000166401	1	3	2	3	1	0	0	0	0	2	1	0	3	0	2	0	0	0	0	3	0	2	2	0	0	0	0	1	0	0	3	2	3	0	0	1	0	0	2	1	2	0	0	0	0	3	1	1	0	0	1	0	2	1	2	2	0	0	3	2	2
ENSP00000331423	ENSG00000182087	0	2	2	2	2	2	0	2	2	2	1	0	2	0	2	0	2	2	2	2	0	2	2	0	2	2	0	2	0	2	2	1	2	2	2	2	2	0	2	2	2	0	2	2	2	2	1	2	0	0	0	0	1	2	2	2	0	2	2	2	2
ENSP00000331614	ENSG00000185811	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	2	0	0
ENSP00000331736	ENSG00000007908	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSP00000331803	ENSG00000185507	3	2	2	3	2	3	0	2	3	3	3	0	3	0	3	0	2	2	3	2	0	2	3	0	2	2	0	2	0	2	3	3	3	3	2	2	2	0	3	1	3	0	2	2	2	0	3	3	2	2	2	0	3	2	3	3	0	3	2	2	3
ENSP00000331867	ENSG00000173662	0	3	3	2	3	3	0	2	2	2	2	0	3	0	3	0	3	3	3	3	0	3	3	0	2	2	0	3	0	2	3	2	3	3	1	3	3	0	3	3	3	0	2	3	0	2	3	3	1	0	0	0	2	3	3	3	0	3	3	3	2
ENSP00000332148	ENSG00000158163	2	2	2	3	2	3	0	1	2	2	3	0	3	0	2	0	3	1	2	2	0	3	2	0	2	1	0	1	0	0	3	3	3	3	0	3	2	0	3	2	2	0	0	2	1	3	3	2	0	3	3	0	2	2	2	3	0	1	3	3	3
ENSP00000332215	ENSG00000221826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ENSP00000332326	ENSG00000185215	1	1	3	0	0	2	0	0	0	0	1	0	3	0	0	0	1	1	0	1	0	2	2	0	0	0	0	1	0	1	2	2	1	0	0	1	0	0	3	1	3	0	1	1	0	2	2	0	0	3	1	0	1	0	0	1	0	0	2	3	0
